1,Акролеин,(H2C),,0.839,52.7,0.2,0,0.013,3,"""[[0.1, 0.2, 0.1, 1.0, 2.2],null]""",
2,Аммиак хранение под давлением,(NH3),0.0008,0.681,33.42,15,0.18,0.025,0.04,"""[[0.0, 0.3, 0.6, 1.0, 1.4],[0.9, 1.0, 1.0, 1.0, 1.0]]""",
3,Аммиак изотермическое хранение,(NH3),,0.681,33.42,15,0.01,0.025,0.04,"""[[0.0, 1.0, 1.0, 1.0, 1.0],[0.9, 1.0, 1.0, 1.0, 1.0]]""",
4,Ацетонитрил,(C2HsN),,0.786,81.6,21.6,0,0.004,0.028,"""[[0.02, 0.3, 1.0, 1.0, 2.6],null]""",
5,Ацетонциангидрин,(C4H7NO),,0.932,120,1.9,0,0.002,0.316,"""[[0.0, 0.0, 0.3, 1.0, 1.5],null]""",
6,Водород мышьяковистый,(AsH3),0.0035,1.64,62.47,0.2,0.17,0.054,3,"""[[0.3, 0.5, 0.8, 1.0, 1.2],[1.0, 1.0, 1.0, 1.0, 1.0]]""",
7,Водород фтористый,(HF),,0.989,19.52,4,0,0.028,0.15,"""[[0.1, 0.2, 0.5, 1.0, 1.0],null]""",
8,Водород хлористый,(HCl),0.0016,1.191,85.1,2,0.28,0.037,0.3,"""[[0.4, 0.6, 0.8, 1.0, 1.2],[1.0, 1.0, 1.0, 1.0, 1.0]]""",
9,Водород бромистый,(HBr),0.0036,1.49,66.77,2.4,0.13,0.055,0.25,"""[[0.3, 0.5, 0.8, 1.0, 1.2],[1.0, 1.0, 1.0, 1.0, 1.0]]""",
10,Водород цианистый,(HCN),,0.687,25.7,0.2,0,0.026,3,"""[[0.0, 0.0, 0.4, 1.0, 1.3],null]""",
11,Диметиламин,((CH3)2NH),0.002,0.68,6.9,1.2,0.06,0.041,0.5,"""[[0.0, 0.0, 0.0, 1.0, 2.5],[0.1, 0.3, 0.8, 1.0, 1.0]]""",
12,Метиламин,(CH5N),0.0014,0.699,6.5,1.2,0.13,0.034,0.5,"""[[0.0, 0.0, 0.5, 1.0, 2.5],[0.3, 0.7, 1.0, 1.0, 1.0]]""",
13,Метил бромистый,(CHBr),,1.732,3.6,1.2,0.04,0.039,0.5,"""[[0.0, 0.0, 0.0, 1.0, 2.3],[0.2, 0.4, 0.9, 1.0, 1.0]]""",
14,Метил хлористый,(CH3Cl),0.0023,0.983,23.76,10.8,0.125,0.044,0.056,"""[[0.0, 0.1, 0.6, 1.0, 1.5],[0.5, 1.0, 1.0, 1.0, 1.0]]""",
15,Метилакрилат,(C4H6O2),,0.953,80.2,6,0,0.005,0.1,"""[[0.1, 0.2, 0.4, 1.0, 3.1],null]""",
16,Метилмеркаптан,(CH34S),,0.867,5.95,1.7,0.06,0.043,0.353,"""[[0.0, 0.0, 0.0, 1.0, 2.4],[0.1, 0.3, 0.8, 1.0, 1.0]]""",
17,Нитрил акриловой кислоты,(C3H3N),,0.806,77.3,0.75,0,0.007,0.8,"""[[0.04, 0.1, 0.4, 1.0, 2.4],null]""",
18,Окислы азота,,,1.491,21,1.5,0,0.04,0.4,"""[[0.0, 0.0, 0.4, 1.0, 1.0],null]""",
19,Окись этилена,(C2H4O),,0.882,10.7,2.2,0.05,0.041,0.27,"""[[0.0, 0.0, 0.0, 1.0, 3.2],[0.1, 0.3, 0.7, 1.0, 1.0]]""",
20,Сернистый ангидрид,(SO2),0.0029,1.462,10.1,1.8,0.11,0.049,0.333,"""[[0.0, 0.0, 0.3, 1.0, 1.7],[0.2, 0.5, 1.0, 1.0, 1.0]]""",
21,Сероводород,(H2S),0.0015,0.964,60.35,16.1,0.27,0.042,0.036,"""[[0.3, 0.5, 0.8, 1.0, 1.2],[1.0, 1.0, 1.0, 1.0, 1.0]]""",
22,Сероуглерод,(C2S),,1.263,46.2,45,0,0.021,0.013,"""[[0.1, 0.2, 0.4, 1.0, 2.1],null]""",
23,Соляная кислота (концентрированная),(HCI),,1.198,,2,0,0.021,0.3,"""[[0.0, 0.1, 0.3, 1.0, 1.6],null]""",
24,Триметиламин,((CH3)3N),,0.671,2.9,6,0.07,0.047,0.1,"""[[0.0, 0.0, 0.0, 1.0, 2.2],[0.1, 0.4, 0.9, 1.0, 1.0]]""",
25,Формальдегид,(CH2O),,0.815,19,0.6,0.19,0.034,1,"""[[0.0, 0.0, 0.5, 1.0, 1.5],[0.4, 1.0, 1.0, 1.0, 1.0]]""",
26,Фосген,(COCl2),0.0035,1.432,8.2,0.6,0.05,0.061,1,"""[[0.0, 0.0, 0.0, 1.0, 2.7],[0.1, 0.3, 0.7, 1.0, 1.0]]""",
27,Фтор,(F),0.0017,1.512,188.2,0.2,0.95,0.038,3,"""[[0.7, 0.8, 0.9, 1.0, 1.1],[1.0, 1.0, 1.0, 1.0, 1.0]]""",
28,Фосфор треххлористый,(PCls),,1.57,75.3,3,0,0.01,0.2,"""[[0.1, 0.2, 0.4, 1.0, 2.3],null]""",
29,Фосфора хлорокись,(POCI3),,1.675,107.2,0.06,0,0.003,10,"""[[0.05, 0.1, 0.3, 1.0, 2.6],null]""",
30,Хлор,(Cl),0.0032,1.553,34.1,0.6,0.18,0.052,1,"""[[0.0, 0.3, 0.6, 1.0, 1.4],[0.9, 1.0, 1.0, 1.0, 1.0]]""",
31,Хлорпикрин,(CCl3NO2),,1.658,112.3,0.02,0,0.002,30,"""[[0.03, 0.1, 0.3, 1.0, 2.9],null]""",
32,Хлорциан,(ClCN),0.0021,1.22,12.6,0.75,0.04,0.048,0.8,"""[[0.0, 0.0, 0.0, 1.0, 3.9],[0.0, 0.0, 0.6, 1.0, 1.0]]""",
33,Этиленимин,(C2H5N),,0.838,55,4.8,0,0.009,0.125,"""[[0.05, 0.1, 0.4, 1.0, 2.2],null]""",
34,Этиленсульфид,(C2H4S),,1.005,55,0.1,0,0.013,6,"""[[0.05, 0.1, 0.4, 1.0, 2.2],null]""",
35,Этилмеркаптан,(C2H5SH),,0.839,35,2.2,0,0.028,0.27,"""[[0.1, 0.2, 0.5, 1.0, 1.7],null]""",
